instance,parameter,cut_count,known_puzzle,best_solution,lower bound,gap,runtime,node_count,remaining_nodes,status,cpu_type,time_limit,ram
32,2,500,23,19.0,19.0,0.0,108435.327063,3871024,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
32,2,1000,23,19.0,19.0,0.0,64731.029853,2471003,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
32,2,3000,23,19.0,19.0,0.0,156483.367337,1899609,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
32,2,5000,23,19.0,19.0,0.0,219581.652502,1912198,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
33,2,500,26,18.0,18.0,0.0,232773.632762,9384746,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
33,2,1000,26,18.0,18.0,0.0,80584.321442,2624205,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
33,2,3000,26,18.0,18.0,0.0,291338.500306,3529982,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
33,2,5000,26,18.0,18.0,0.0,309859.82751,2364415,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
34,2,500,26,18.0,18.0,0.0,309859.82751,2364415,0,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
34,2,1000,24,19.0,16.827586,11.433757,345600.047615,7794363,3790273,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
34,2,3000,24,18.0,18.0,0.0,130840.642703,2436634,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
34,2,5000,24,19.0,16.443609,13.454689,345642.335373,2342084,1353385,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
35,2,500,21,18.0,18.0,0.0,305065.885206,11481260,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
35,2,1000,21,18.0,18.0,0.0,111439.750848,4122065,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
35,2,3000,21,19.0,17.068327,10.166701,345600.064872,4203376,1766897,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
35,2,5000,21,19.0,16.839829,11.369322,345600.050867,2299045,1149329,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
36,2,500,22,19.0,17.15625,9.703947,345600.05712,12270788,4117136,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
36,2,1000,22,19.0,17.399254,8.42498,345600.05625,11706205,2913512,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
36,2,3000,22,19.0,17.0,10.526316,345600.037884,3976256,1794166,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
36,2,5000,22,19.0,16.82,11.473684,345627.843999,2520518,1260117,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
37,2,500,25,19.0,17.125,9.868421,345600.102858,12132390,4225071,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
37,2,1000,25,18.0,18.0,0.0,155279.135648,6273612,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
